Name,email
Domov sociálnych služieb - Zemianske Podhradie,info@csspodhradie.sk
Mesto Nová Dubnica,cizova@novadubnica.sk
"Mesto Nová Dubnica, Trenčianska 80",vankova@novadubnica.sk; cizova@novadubnica.sk
Mesto Nová Dubnica,vankova@novadubnica.sk
Centrum sociálnych služieb - LIPA,"igor.sumaj@csslipa.sk, info@csslipa.sk"
Obec Horná Súča,hornasuca@hornasuca.sk
Centrum sociálnych služieb,ddskalka@gmail.com
"SPOKOJNOSŤ - centrum sociálnych služieb, n. o., Ulica J. Jesenského 449",spokojnost@ispokojnost.sk
"SPOKOJNOSŤ - centrum sociálnych služieb, n. o., Ulica J. Jesenského 449",dessuet@ispokojnost.sk
Mesto Považská Bystrica,zdena.danizova@povazska-bystrica.sk
"Mesto Považská Bystrica, SNP 1444",zdena.danizova@povazska-bystrica.sk
"Mesto Považská Bystrica, Športovcov 2115",zdena.danizova@povazska-bystrica.sk
Mesto Považská Bystrica,zdena.danizova@povazska-bystrica.sk
Mesto Prievidza,emilia.cavojska@prievidza.sk
Mesto Prievidza,emilia.cavojska@prievidza.sk
Mesto Prievidza,emilia.cavojska@prievidza.sk
"Mesto Prievidza, Bojnická cesta 409",emilia.cavojska@prievidza.sk
"Mesto Prievidza, Ulica T. Vansovej 529",emilia.cavojska@prievidza.sk
"Mesto Prievidza, Ulica F. Hečku 316",emilia.cavojska@prievidza.sk
"Mesto Prievidza, Podhorská ulica 399",emilia.cavojska@prievidza.sk
"Mesto Prievidza, Na záhumní 422",emilia.cavojska@prievidza.sk
"Mesto Prievidza, Pekná ulica 201",emilia.cavojska@prievidza.sk
"Mesto Dubnica nad Váhom, Bratislavská 435",primator@dubnica.eu
Mesto Dubnica nad Váhom,olga.carachova@dubnica.eu
"Mesto Dolný Kubín, Obrancov mieru 1769",socialne@dolnykubin.sk
"Mesto Dubnica nad Váhom, Bratislavská 434",alena.masarova@dubnica.eu
Mesto Dubnica nad Váhom,olga.carachova@dubnica.eu
"Mesto Dubnica nad Váhom, Bratislavská 435",alena.masarova@dubnica.eu
"Mesto Dubnica nad Váhom, ČSA 1187",alena.masarova@dubnica.eu
"Mesto Dubnica nad Váhom, Prejtská 112",alena.masarova@dubnica.eu
"Zariadenie pre seniorov, Lánska 957",riaditel@zpslanska.sk  
"Centrum sociálnych služieb - Juh, Liptovská 3134",veronika.strakova@csstrencin.sk
"Zariadenie pre seniorov - Domov dôchodcov Bojnice, Janka Kráľa 574",riaditel@seniordombojnice.sk
"Zariadenie pre seniorov - Domov dôchodcov Bojnice, Janka Kráľa 574",riaditel@seniordombojnice.sk
Zariadenie pre seniorov - Domov dôchodcov Bojnice,riaditel@seniordombojnice.sk
Obec Partizánska Ľupča,ou@partizanskalupca.com
Obec Nitrianske Pravno,prednosta@nitrianskepravno.sk
"Centrum sociálnych služieb - KOLONKA, J. Smreka 486",info@csskolonka.sk
"PE - ES, n. o.",lubicageczyova@gmail.com
"Centrum sociálnych služieb - Lednické Rovne, Medňanská 80",info@csslednicke.sk
"Centrum sociálnych služieb - Jesienka, Staromyjavská 889",hana.feriancova@cssmyjava.sk ; info@cssmyjava.sk
Obec Horná Ves,obechornaves@atlas.sk
Obec Horná Poruba,obechp@gmail.com
Obec Horná Poruba,obechp@gmail.com
Obec Lazy pod Makytou,starosta@lazypodmakytou.sk
"Centrum sociálnych služieb - Chmelinec, Hoštínska 1620",info@csschmelinec.sk
"Centrum sociálnych služieb - Bánovce nad Bebravou, Textilná 900","richard.makys@cssbanovce.sk, info@cssbanovce.sk"
"Domov dôchodcov, Námestie hrdinov 12",domovdochodcovchynorany@gmail.com
Obec Malinová,olga.kovacova@bojnice.sk
Obec Lúky,katarina.repata@obecluky.sk 
Obec Horná Lehota,ouhornalehota@orava.sk
"Centrum sociálnych služieb - DOMOV JAVORINA, Školská 344",maria.loffayova@cssjavorina.sk
"Centrum sociálnych služieb - DOMINO, Veterná ulica 259","iveta.laukova@cssdomino.sk, info@cssdomino.sk"
"Centrum sociálnych služieb - DOMINO, Veterná ulica 259","iveta.laukova@cssdomino.sk, info@cssdomino.sk"
Obec Mestečko,obecmestecko@obecmestecko.sk
"Centrum sociálnych služieb - DOMINO, Veterná ulica 259","iveta.laukova@cssdomino.sk, info@cssdomino.sk"
Domov sociálnych služieb - Adamovské Kochanovce,jana.pondusova@csskochanovce.sk
"Zariadenie pre seniorov Nová Dubnica, Trenčianska 727",zpsnovadubnica@dcnet.sk
"HUMANITY-Centrum sociálnej pomoci, Ulica odbojárov 181","info@csphumanity.sk, lubomir.valovic@csphumanity.sk"
"Mesto Brezová pod Bradlom, V Jarku 725",mesto@brezova.sk
"HUMANITY-Centrum sociálnej pomoci, Nábrežie sv. Metoda 122","info@csphumanity.sk, lubomir.valovic@csphumanity.sk"
Obec Kľačno,klacno@prievidzanet.sk
Mesto Trenčianske Teplice,zuzana.valaskova@teplice.sk
Mesto Brezová pod Bradlom,plackova@brezova.sk
"Mesto Brezová pod Bradlom, Námestie 7.apríla 410",plackova@brezova.sk
"Sociálne služby mesta Trenčín, m. r. o., M. Nešporu 216",ssmtn@ssmtn.sk
"Sociálne služby mesta Trenčín, m. r. o., Piaristická 271",ssmtn@ssmtn.sk
"Sociálne služby mesta Trenčín, m. r. o.",ssmtn@ssmtn.sk
"Sociálne služby mesta Trenčín, m. r. o.",ssmtn@ssmtn.sk
"Charita - dom sv. Vincenta, n. o., Košovská cesta 60",charitapd@gmail.com
"Charita - dom sv. Vincenta, n. o., Košovská cesta 60",charitapd@gmail.com
"DOBRÝ PASTIER - KLÁŠTOR POD ZNIEVOM, o.z., M. Čulena 199",ozdobrypastier@gmail.com
Drahuška a my...,drahuskovo@drahuskovo.sk
Drahuška a my...,drahuskovo@drahuskovo.sk
Drahuška a my...,drahuskovo@drahuskovo.sk
Drahuška a my...,drahuskovo@drahuskovo.sk
Drahuška a my...,drahuskovo@drahuskovo.sk
"Zariadenie pre seniorov Dubina, mestská rozpočtová organizácia, Pod hájom 1291",riaditel@dubina.org
"Zariadenie pre seniorov Dubina, mestská rozpočtová organizácia, Prejtská 131",riaditel@dubina.org
"Zariadenie pre seniorov Prievidza, Ulica J. Okáľa 773",riaditel@zps-prievidza.sk 
"Zariadenie pre seniorov Prievidza, Ulica M. Rázusa 1266",riaditel@zps-prievidza.sk 
"Centrum sociálnych služieb v Novom Meste nad Váhom, Bernolákova ulica 604",info@cssnovemesto.sk
"Centrum sociálnych služieb v Novom Meste nad Váhom, Bernolákova ulica 604",info@cssnovemesto.sk
"Centrum sociálnych služieb - Bôrik (CSS - Bôrik), Žltá 319",info@csspravno.sk
Obec Trenčianska Turná,zps@trencianskaturna.sk
Obec Trenčianska Turná,starosta@trencianskaturna.sk
Obec Trenčianska Turná,starosta@trencianskaturna.sk
"Zariadenie pre seniorov - Domov sociálnych služieb Tulipán, n. o.",bibiana@bax.sk
"Centrum sociálnych služieb - Riviéra, n. o.",hromadova8@post.sk
"Agentúra sociálnych služieb - ASS n. o., Gagarinova 1261","sass.dubnica@azet.sk, ass.dubnica@gmail.com"
"Agentúra sociálnych služieb - ASS n. o., Gagarinova 1261",ass.dubnica@gmail.com
Obec Trenčianska Teplá,erika.gerekova@trencianskatepla.sk
Obec Považany,podatelna@obec-povazany.sk
"Mesto Stará Turá, 8.apríla 217",socialne@staratura.sk
Obec Kočovce,oukocovce@kocovce.sk
"Obec Beluša, Farská 1157",prednosta@belusa.sk
Obec Beluša,prednosta@belusa.sk
"Obec Čachtice, Malinovského 427",zos@cachtice.sk
Obec Čachtice,obec@cachtice.sk
"Zariadenie opatrovateľskej služby ""NEZÁBUDKA"", Hurbanova 621",riaditel@zosnezabudka.sk
"Archa, n.o., 5. apríla 792",archabn@gmail.com
"Denné Centrum Frézia Partizánske n. o., Veľká Okružná 1107",michaela.kros@gmail.com
Domov sociálnych služieb - Púchov - Nosice,info@cssnosice.sk
Domov sociálnych služieb - Púchov - Nosice,info@cssnosice.sk
Centrum sociálnych služieb - NÁDEJ,frantisek.martaus@cssdolnylieskov.sk
"Centrum sociálnych služieb - DEMY, Biskupická 2046",info@demytrencin.sk ; tibor.gavenda@demytrencin.sk
AUTIS,helena.vlnkova@autis.sk
Centrum sociálnych služieb - NÁDEJ,frantisek.martaus@cssdolnylieskov.sk
"Aliis, n. o., J. Braneckého 130",aliis.stacionar@gmail.com
Obec Bolešov,marta.miklovicova@ilava.sk
Stredisko Evanjelickej DIAKONIE Domov sociálnych služieb - Prameň,szilvia@diakonia.sk
Mesto Handlová,socialne@handlova.sk
Obec Lysá pod Makytou,obec@lysapodmakytou.sk
Obec Jasenica,obec@jasenica.sk
Mesto Bánovce nad Bebravou,bujnova@banovce.sk
Mesto Handlová,handlova@handlova.sk
"Mesto Handlová, SNP 52",handlova@handlova.sk
Mesto Handlová,socialne@handlova.sk
Obec Lazany,obec@lazany.sk
Obec Lazany,obec@lazany.sk
Obec Bošany,bosany@bosany.sk
Obec Ladce,starosta@ladce.sk
Mesto Ilava, anna.bakosova@ilava.sk
Obec Zliechov,marta.miklovicova@ilava.sk
Obec Dulov,obec@dulov.sk
Obec Pravotice,ocu@obecpravotice.sk
Obec Podolie,starosta@podolie.sk
Obec Kameničany,obecnyurad@kamenicany.sk
Obec Bohunice,info@obecbohunice.sk
Mesto Bojnice,sekretariat@bojnice.sk
"Mesto Bojnice, Školská 369",sekretariat@bojnice.sk
Obec Ráztočno,starosta@obecraztocno.sk
Obec Jalovec,obec.jalovec@jalovec.eu
Obec Rybany,obec@rybany.sk
"Mesto Púchov, Námestie slobody 1400",primator@puchov.sk
Obec Horné Srnie,starosta@hornesrnie.sk
Obec Uhrovec,obec@uhrovec.sk
Obec Uhrovec,obec@uhrovec.sk
Obec Nedašovce,ocunedasovce@centrum.sk
Obec Bobot,starostka@bobot.sk
Obec Diviacka Nová Ves,podatelna@diviackanovaves.sk
Obec Veľký Klíž,starostavelkykliz@wircom.sk
Obec Lipník,obeclipnik@lipnik.sk
Obec Podhradie,podhradie@prievidzanet.sk
Obec Čereňany,cerenany@cerenany.sk
Obec Dolné Vestenice,starosta@dolnevestenice.sk
StarDOS n.o.,info@stardos.sk
StarDOS n.o.,info@stardos.sk
Obec Veľké Uherce,obecvelkeuherce@velkeuherce.sk
"StarDOS n.o., Gen. M. R. Štefánika 379",info@stardos.sk
Obec Veľké Uherce,obecvelkeuherce@velkeuherce.sk
Obec Dolné Kočkovce,obec_dk@slovanet.sk
Obec Diviaky nad Nitricou,obec@diviaky.sk
Obec Seč,starosta@obecsec.sk
Obec Kolačno,starosta@kolacno.sk
Obec Hrašné,obec@obechrasne.sk
Obec Tužina,obec@tuzina.sk
Obec Kostolná Ves,ocukostolnaves@mail-t.com
Obec Trenčianske Mitice,starosta@trencianskemitice.sk 
Obec Liešťany,ocu@liestany.sk
Obec Hradište,starosta@obec-hradiste.sk
Obec Veľké Kršteňany,obecvelkekrstenany@gmail.com 
"Ing. Jaroslav Smatana, Partizánska 1131",smatasonic@seznam.cz
Obec Valaská Belá,obec@valaskabela.sk
"SENIOR CENTRUM HANDLOVÁ, n.o., Márie Krššákovej 1107",seniorcentrum@handlova.sk
"HUBERTUS n. o., 17.novembra 308",riaditel@hubertusno.sk
"HUBERTUS n. o., Trenčianska 451",riaditel@hubertusno.sk
"Spoločná úradovňa samosprávy, n. o.; SÚS n. o.",sus.nmnv@gmail.com
"IRIS-IV,n.o.",irisivno@gmail.com
"Domov n. o., Partizánske, Nádražná 649",domovpartizanske@gmail.com
Lekáreň ASTRA,lekastraruzinov@gmail.com
"Všeobecná ambulancia pre deti a dorast, Prešov, (CHAVAKIAŠ s.r.o.,)",martina.moravcikova@yahoo.com
"Všeobecná ambulancia pre dospelých, Nitra, (Hippokratés s.r.o.)",mudr.hippova@gmail.com
"Mesto Handlová, Morovnianska cesta 1866",handlova@handlova.sk; socialne@handlova.sk
"ADOS, Jána Milca, Žilina, (ADOS LH, s.r.o.)",doktorkalubina@gmail.com
Obec Papradno,roman.spanihel@papradno.sk
ARIES MEDISHOP,bratislava@aries.eu
Lekáreň Dr. Max,drmax-za4@drmax.sk
"THUASNE MEDICAL, s.r.o.",medicalba@thuasne.sk
Akustik plus s.r.o.,vydajna.bratislava@akustik.sk
"Centrum sociálnych služieb - Bánovce nad Bebravou, Textilná 900","richard.makys@cssbanovce.sk, info@cssbanovce.sk"
"Angiologická ambulancia, Žilina, (MEDIVASA, s.r.o.)",angio1@medivasa.sk
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Ľudmila Bosiková, Žilina, (MEDIVASA, s.r.o.)",dia2@medivasa.sk
"Centrum sociálnych služieb - Juh, Liptovská 3134",veronika.strakova@csstrencin.sk
"Všeobecná ambulancia pre dospelých, MUDr. Adela Gallová, Martin, (PROVITAE, s.r.o.)",provitae1@gmail.com 
"Centrum sociálnych služieb - Lednické Rovne, Medňanská 80","janka.jezova@csslednicke.sk, info@csslednicke.sk"
"Centrum sociálnych služieb - Bôrik (CSS - Bôrik), Žltá 319",info@csspravno.sk
Lekáreň Dr. Max,drmax-za6@drmax.sk
"Centrum sociálnych služieb v Novom Meste nad Váhom, Bernolákova ulica 604",info@cssnovemesto.sk
Pobočka verejnej lekárne PEDAG Istebné,istebne.lekaren@pedag.sk
"Centrum sociálnych služieb - Jesienka, Staromyjavská 889",hana.feriancova@cssmyjava.sk
Centrum sociálnych služieb - Nová Bošáca,info@cssbosaca.sk
Centrum sociálnych služieb - NÁDEJ,frantisek.martaus@cssdolnylieskov.sk; info@cssdolnylieskov.sk
"MUDr.Eva Zembjaková,s.r.o., Hruštín, (MUDr. Eva Zembjaková, s.r.o.)",eva.zembjakova@centrum.sk
"Všeobecná ambulancia pre dospelých, Liptovská Teplá, (BELLA – MEDIK s. r. o.)",bellamediksro@gmail.com
"Mesto Lučenec, Ulica Jókaiho 95",ivana.jasenkova@lucenec.sk 
Lekáreň Dr.Max,drmax-pe1@drmax.sk
Lekáreň Panacea,lekaren.panacea.vk@apothekeslovakia.sk
Lekáreň Dr.Max,drmax295@drmax.sk
"MUDr. Petra ITZE, Bratislava-Ružinov, (FRAMEDIC, s. r. o.)",framedic.ambulancia@gmail.com 
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Bratislava-Ružinov, (MEDANTE Clinic, s.r.o.)", recepcia@medante.sk
"Otorinolaryngologická ambulancia, Richard Kulich, Bratislava-Ružinov, (AURICULA s. r. o.)",orl.ambulancia@gmail.com
"Mobilné odberové miesto, Kysucké Nové Mesto, (Unitest 3, s. r. o.)",momunitest3@gmail.com
"ABAWI spol. s r.o., Bratislava-Vrakuňa, (ABAWI spol. s r.o.)",abawisro@gmail.com
"Všeobecná ambulancia pre dospelých, Bratislava-Petržalka, (Medirect s.r.o.)",doktorkaaja@gmail.com
"Neurologická ambulancia, MUDr. Miriam Gažiová, Bratislava-Ružinov, (NEURO-EEG, s. r. o.)",neuroeeg.sro@gmail.com
"Stoma SA, s.r.o., Bratislava-Pod.Biskup., (Stoma SA, s. r. o.)",kontakt@zubna-ambulancia.com
"Ambulancia klinickej psychológie, Pezinok, (Psyché, s.r.o.)",info@psychesro.sk
"Všeobecná ambulancia pre dospelých, Bratislava-Staré Mesto, (DANUMED, s. r. o.)",daniela.geljenova@gmail.com
"ProSmile Clinic s.r.o., Bratislava-Ružinov, (ProSmile Clinic, s. r. o.)",prosmile@prosmile.sk
"Všeobecná ambulancia pre dospelých, MUDr. Ivan Očadlík, PhD., Bratislava-Pod.Biskup., (MUDr. Očadlík, s.r.o.)",ambulancia.ocadlik@gmail.com
"Ambulancia všeobecného lekárstva a vnútornej medicíny, Nová Dedinka, (K - Clinic, s. r. o.)",kkiss@k-clinic.sk
"Ambulancia čeľustnej ortopédie, Bratislava-Petržalka, (DentaDerm s.r.o.)",recepcia@dentaderm.sk
"Všeobecná ambulancia pre dospelých, Senec, (CLINIC s.r.o.)",striskosencakova@gmail.com
"Ambulancia klinickej psychológie, PhDr. Martina Bačová, Bratislava-Rača, (PhDr. Martina Bačová)",www.psychologickesluzby.sk
"OpiDENT s.r.o., Bratislava-Petržalka, (opiDENT s. r. o.)",opident@opident.sk
"Ambulancia zubného lekárstva, Bratislava-Petržalka, (Family Dental Care - Budatínska s. r. o.)",Office@familydentalcare.sk
"Súkromná gynekologická ambulancia Gynaex, Bratislava-Ružinov, (GYNAEX s.r.o.)",info@gynaex.sk
"Mgr. Emília Štrbová, Školská, Slovenský Grob, (Mgr. Emília Štrbová)",e.strbova@sgados.sk
"ADOS, Športové Nám., Lozorno, (ADOS – FÉNIX s.r.o.)",adosfenix@gmail.com
"Ambulancia zubného lekárstva, MUDr. Andrea Wiedermann,MSc., Bratislava-Petržalka, (wiedermann s.r.o.)",wiedermannsro@gmail.com
"Všeobecná ambulancia pre dospelých, Bratislava-Dúbravka, (MUDr. Darina Šteffeková s.r.o.)",ambulancia.dubravka@vaslekar.sk
"Všeobecná ambulancia pre dospelých, Bratislava-Rača, (ELMA Medical, s. r. o.)",j.marcekova@gmail.com
"Psychiatrická ambulancia, Bratislava-Dúbravka, (ASTEROID s.r.o.)",dubnickoak@gmail.com 
"Všeobecná ambulancia pre dospelých, Bratislava-Rača, (MEDITIS s. r. o.)",tvoja.ambulancia@gmail.com
"Všeobecná ambulancia pre dospelých, Bratislava-Nové Mesto, (mediZon s. r. o.)",info@medizon.org
"Všeobecná ambulancia pre dospelých, MUDr. Katarína Sollárová, Bratislava-Ružinov, (SollarMED s. r. o.)",info@sollarmed.sk
"Alba Dental Clinic s.r.o., Bratislava-Staré Mesto, (Alba Dental Clinic s. r. o.)",info@albadental.sk
"Ambulancia pracovnej, organizačnej a dopravnej psychológie, Bratislava-Trnávka, DPB, a.s., Bratislava-Nové Mesto, (Dopravný podnik Bratislava, akciová spoločnosť)",psycholog@dpb.sk
"Všeobecná ambulancia pre deti a dorast, MUDr. Petra Džuppová, Bratislava-Ružinov, (DETSKÁ AMBULANCIA, s.r.o.)",mojalekarka@gmail.com
"Oftalmologická ambulancia, MUDr. Marián Halás ml. PhD., Bratislava-Nové Mesto, (UVEA, s. r. o.), Bratislava-Nové Mesto, (UVEA, s. r. o.)",uveasro@gmail.com
"Psychiatrická ambulancia, Bratislava-Petržalka, (PSYCHOSALUS, s.r.o.)",psychosalus@gmail.com
"Ambulancia zubného lekárstva, Bratislava-Karlova Ves, (DentiClinic s. r. o.)",info@denticlinic.sk
"Ambulancia zubného lekárstva, MDDr. Marcel Zaid, Bratislava-Nové Mesto, (Adam-Dent s.r.o.)",adent@adent.sk
"BeneDerma sro, Dermatovenerologická ambulancia, Bratislava-Dúbravka, (BeneDerma s. r. o.)",benederma@gmail.com
"Dermatovenerologická ambulancia, Bratislava-Ružinov, (MUDr. Taťjana Špačinská)",Ambulancia od 1.1.2023 zatvorená/zrušená 
"PhDr.Alena Opálená-SVaLZ, fyzioterapia, Bratislava-Nové Mesto,, Bratislava-Nové Mesto, (MUDr. Alena Opálená)",alena@rehabilitacia.eu
"Všeobecná ambulancia pre dospelých, MUDr. Michaela Randušková, Bratislava-Vrakuňa, (Mimedicus s.r.o.)",ambmimedicus@gmail.com
"Ambulancia zubného lekárstva, Bratislava-Nové Mesto, (PreVašeZuby s.r.o.)",bollovamo@gmail.com
"Všeobecná ambulancia pre dospelých, Kuchyňa, (Dapur s. r. o.)",recepty.kuchyna@gmail.com 
"Ambulancia klinickej logopédie - PaedDr. Katarína Púllová, Bratislava-Ružinov, (PaedDr. Katarína Púllová)",logoped@chello.sk
"Urologická ambulancia, Bratislava-Petržalka, (Uromedik, s. r. o.)",urolambulancia@gmail.com
"MUDr. Ceconíková - Všeobecná ambulancia pre dospelých, Bratislava-Ružinov, (adlatus, s. r. o.)",dr.ceconikova@gmail.com 
"Všeobecná ambulancia pre dospelých, Bratislava-Petržalka, (Kapmed, s. r. o.)",doktorka.kapustova@gmail.com
"Psychiatrická ambulancia, MUDr. Tatiana Magová, Bratislava-Staré Mesto, (MENTAL COMFORT s. r. o.)",mental.comfort@gmail.com
"Ambulancia zubného lekárstva, Bratislava-Nové Mesto, (StomEst s.r.o.)",stomest@stomest.sk 
Lekáreň Dr.MAX,drmax312@drmax.sk
Lekáreň Dr.Max,drmax278@drmax.sk
Lekáreň Dr.Max,drmax378@drmax.sk
"Všeobecná ambulancia pre deti a dorast, Bratislava-Rača, (E-MEDIC, s.r.o.)",doktorka@pediaterraca.sk 
"Všeobecná ambulancia pre dospelých, MUDr.Kokavcová Andrea, Bratislava-Ružinov, (Medi-Ko Ružinov, s. r. o.)",medikoruzinov@gmail.com
"Neštátna Ortopedická Ambulancia, Zohor, (MUDr. Gilbert Maurille Houndjo)",ghoundjo@hotmail.com
"Ambulancia zubného lekárstva, Bratislava-Ružinov, (MUDr. Dagmar Nikulinová)",nikulinova.dada@gmail.com
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Adriana Ilavská, PhD., MBA, MPH, Bratislava-Petržalka, (MEDISPEKTRUM s.r.o.)",ambulancia@medispektrum.com 
"Ambulancia klinickej logopédie, Bratislava-Rača, (PhDr. Barbara Králiková)",logopedia.klinicka@gmail.com
"Ambulancia vnútorného lekárstva, MUDr. Danica Ďurkovská, Pezinok, (GERIN s.r.o.)",ambulanciagerin@gmail.com
"Ambulancia zubného lekárstva, Bratislava-Ružinov, (MUDr. Klára Fischerová)",fischer@ivankanet.sk
"PROKTOVENA by Dr. Ištok- chirurgické centrum, Bratislava-Nové Mesto, (MEDICHIR s.r.o.)",recepcia@proktovena.sk
"Ambulancia zubného lekárstva, MDDr. Roman Nemeček, Bratislava-Nové Mesto, (SI-DENTAL GROUP, s. r. o.)",sidentalsro@gmail.com
"Ambulancia diabetológie a porúch látkovej premeny a výživy, doc. MUDr. Ľubomíra Fábryová, PhD. MPH, Bratislava-Staré Mesto, (Metabol KLINIK s.r.o.)",ambulancia@metabolklinik.sk
"DERMA junior, Bratislava-Karlova Ves, (DERMA junior, s.r.o.)",dermajunior.karlovka@gmail.com
"Všeobecná ambulancia pre deti a dorast, Dlhé Diely, Bratislava-Karlova Ves, (Medical Art s.r.o.)",mudr.kelbelova@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr.Belicová Margita, Bratislava-Petržalka, (B-MED s.r.o.)",recepty.belicova@gmail.com 
"Detská dermatovenerologická ambulancia DERMASON, MUDr. Soňa Federičová, Bratislava-Ružinov, (DERMASON, s.r.o.)",recepcia@dermason.sk
"Všeobecná ambulancia pre dospelých, ESCULAP- F s.r.o. MUDr Fulová Iveta, Bratislava-Petržalka, (ESCULAP - F, s. r. o.)",receptyesculapf@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Martina Rutaiová, Bratislava-Dev.Nová Ves, (Všeobecný lekár DNV, s.r.o.)",vseobecnylekardnv@gmail.com
"Všeobecná ambulancia pre dospelých, Bratislava-Nové Mesto, (MD plus spol. s r.o.)",margareta.cernakova@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Andrea Michalková, Bratislava-Staré Mesto, (MUKTAMED s.r.o.)",info@muktamed.sk
"Všeobecná ambulancia pre deti a dorast, MUDr. Pirčová Soňa, Malacky, (PLDD - NANI, spol. s r.o.)",amb.plddnani@gmail.com
"Psychiatrická ambulancia, MUDr. Martina Koyšová, Bratislava-Petržalka, (Mentálne zdravie s.r.o.)",mentalzdravie@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Anna Popracová, Bratislava-Staré Mesto, (MUDr. Anna Popracová, s.r.o.)",detskelekarky@gmail.com 
"Všeobecná ambulancia pre dospelých, Bratislava-Staré Mesto, (Ambulancia MUDr. Viery Blahunkovej, s.r.o)",viera.blahunkova@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Iveta Plšeková, Bratislava-Petržalka, (Vitality s.r.o.)",plsekova@sustekova.sk
"Medicentrum Teslova 33, Bratislava-Ružinov, (MUDr. Viktor Kráľ)",viktor.kral123@gmail.com
"Ambulancia čeľustnej ortopédie, Bratislava-Ružinov, (Ortodentik, s.r.o.)",ortodoncia@ortodentik.sk
"MUDr. Silvia Turányiová, Bratislava-Staré Mesto, (Všeobecná ambulancia PLUS s.r.o.)",sestra@turanyiova.sk
"Všeobecná ambulancia pre dospelých, MUDr. Gabriela Horáčková, Bratislava-Petržalka, (MUDr. Gabriela Horáčková)",ambulanciahorackova@gmail.com
"Zubná ambulancia Veľký Biel, s.r.o., Veľký Biel, (Zubná ambulancia Veľký Biel, s. r. o.)",mclinic.velkybiel@gmail.com
"Ambulancia akupunktúry, MUDr. Danuša Siveková, Bratislava-Ružinov, (MUDr. Danuša Siveková)",sivekova@sivekova.sk
"ProSmile Clinic, Bratislava-Ružinov, (JD.DENTISTY, s. r. o.)",prosmile@prosmile.sk
"ProSmile Clinic s.r.o., Bratislava-Ružinov, (ProSmile Clinic, s. r. o.)",prosmile@prosmile.sk
"Všeobecná ambulancia pre dospelých, MUDr. Zuzana Čečetková, Bratislava-Ružinov, (Amsta s. r. o.)",mudr.cecetkova@gmail.com
"Všeobecná ambulancia pre dospelých, Bratislava-Ružinov, (MUDr. Anna Rozborová)",anna.rozborova1@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Zuzana Krivošíková, Malinovo, (PRADOS s.r.o.)",info@doktormalinovo.sk
"Ambulancia zubného lekárstva, MUDr. Anna Zagoršeková, Bratislava-Nové Mesto, (MUDr. Anna Zagoršeková)",zagorsekova@yahoo.com
"Gynekologická ambulancia, Bratislava-Ružinov, (GYNLINE s.r.o.)",gynline.sro@gmail.com
"Chirurgická ambulancia, MUDr. Marian  Gális, Bratislava-Rača, (MUDr. Marian Galis)",mariangalis@upcmail.sk
"Všeobecná ambulancia pre dospelých, Poprad, (MUDr. Marta Pavelková, s.r.o.)",pavelkova.marta.med@gmail.com
"Ambulancia zubného lekárstva, Bratislava-Staré Mesto, (MUDr. Pavel Šubert)",psubert@gmail.com
"Chirurgická ambulancia, MUDr. Marek Ševčík, Bratislava-Ružinov, (LUMED, s.r.o.)",chirurgialumed@gmail.com
"Gynekologická ambulancia, Malacky, (STARGYN s.r.o.)",miroslav.frus@zoznam.sk
"DENTAL CENTRUM NIVY, Bratislava-Ružinov, (DENTAL STUDIO spol. s r.o.)",info@dentalcentrumnivy.eu
"Ambulancia klinickej onkológie, MUDr. Marián Príbelský CSc, Bratislava-Petržalka, (MUDr. Marián Príbelský)",pribelsky@npba.sk
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (MUDr. Alexandra Drgoňová)",detiadorast@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Pirčová Soňa, Malacky, (PLDD - NANI, spol. s r.o.)",amb.plddnani@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Helena Ivančová, Bratislava-Dúbravka, (Viatica, s. r. o.)",ambulancia.ivancova@gmail.com
"Medivega sro., Bratislava-Nové Mesto, (Medivega, s. r. o.)",medivega1@gmail.com
"Všeobecná ambulancia pre dospelých, Senec, (Blanro s.r.o.)",ambulancia@blanro.sk
"Všeobecná ambulancia pre dospelých, MUDr. Zuzana Krivošíková, Malinovo, (PRADOS s.r.o.)",info@doktormalinovo.sk
"Všeobecná ambulancia pre deti a dorast, Bratislava-Rača, (Deti a dorast s.r.o.)",info@detiadorastraca.sk
"AHa care s.r.o., MUDr. Alena Haringová, ambulancia zubného lekárstva, Bratislava-Petržalka, (AHa care s. r. o.)",zubarka@aha.care
"ImunoVital Centrum, Bratislava-Ružinov, (IMUNOSPORT s. r. o.)",info@imunovital.sk 
"Stomatologické centrum MySmile, Bratislava-Ružinov, (vkDent s. r. o.)",info@mysmile.sk
Lekáreň Dr.Max,drmax227@drmax.sk
